Customer_ID,Age,Gender,Income,Employment_Type,Loan_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Application_Date,Approval_Status,EMI_Amount,Disbursal_Date,EMIs_Paid,Default_Status,Outstanding_Balance
CUST1018,44,Female,129543,Salaried,LOAN5018,Auto,1278742,8.06,36,2023-09-15,Approved,38383.57,2024-09-28,29,No,268684.99
CUST1019,64,Male,161691,Salaried,LOAN5019,Auto,179471,16.42,180,2025-08-04,Approved,1160.78,2025-08-17,16,Yes,190367.92
CUST1020,50,Male,128500,Self-Employed,LOAN5020,Business,1024403,6.53,120,2024-03-18,Rejected,0.0,,0,No,0.0
CUST1021,58,Male,172297,Salaried,LOAN5021,Education,1153997,16.49,60,2024-12-11,Approved,22404.85,2025-04-20,20,Yes,896194.0
CUST1022,22,Female,131266,Salaried,LOAN5022,Business,1144186,9.65,12,2024-09-08,Approved,104550.0,2025-03-25,10,No,209100.0
CUST1023,41,Male,46739,Retired,LOAN5023,Education,1633797,17.12,180,2024-11-05,Approved,10630.57,2025-08-04,114,Yes,701617.62
CUST1024,53,Female,198780,Self-Employed,LOAN5024,Home,122168,14.8,180,2023-09-18,Approved,779.16,2024-02-25,5,Yes,136353.0
CUST1025,32,Male,148041,Salaried,LOAN5025,Auto,1072563,14.49,24,2025-04-15,Rejected,0.0,,0,No,0.0
CUST1026,42,Male,73019,Student,LOAN5026,Home,356042,10.88,24,2023-02-14,Approved,16449.14,2024-09-23,15,Yes,148042.26
CUST1027,64,Female,27373,Self-Employed,LOAN5027,Home,55589,7.21,120,2022-12-27,Approved,496.64,2023-04-10,44,Yes,37744.64
CUST1028,45,Male,186353,Self-Employed,LOAN5028,Auto,585900,16.46,60,2024-07-28,Approved,11372.32,2025-06-22,2,Yes,659594.56
CUST1029,47,Male,40187,Student,LOAN5029,Home,97611,8.55,12,2024-12-24,Rejected,0.0,,0,No,0.0
CUST1030,62,Female,87863,Salaried,LOAN5030,Personal,1641752,10.97,12,2023-01-17,Approved,151821.02,2024-06-23,7,Yes,759105.1
CUST1031,48,Male,117927,Self-Employed,LOAN5031,Education,855849,13.7,12,2024-06-27,Approved,81091.69,2025-08-07,3,Yes,729825.21
CUST1032,36,Female,104085,Salaried,LOAN5032,Business,1815259,12.29,120,2023-12-12,Approved,16986.29,2024-07-14,103,No,288766.93
CUST1033,35,Female,137996,Salaried,LOAN5033,Auto,1307199,8.88,120,2024-04-11,Approved,11860.65,2024-09-08,6,Yes,1352114.1
CUST1034,64,Female,59220,Student,LOAN5034,Personal,1930448,8.19,180,2024-01-01,Approved,11603.06,2025-06-03,58,Yes,1415573.32
CUST1035,23,Female,150503,Self-Employed,LOAN5035,Business,1091095,7.98,60,2023-04-18,Approved,19636.07,2024-04-07,10,Yes,981803.5
CUST1036,57,Female,27642,Self-Employed,LOAN5036,Business,1527536,16.86,12,2023-06-11,Approved,148756.55,2024-04-13,12,No,0.0
CUST1037,27,Male,99971,Student,LOAN5037,Business,264463,6.88,12,2022-10-09,Approved,23554.84,2023-02-02,3,Yes,211993.56
CUST1038,41,Male,75556,Student,LOAN5038,Home,324035,18.22,180,2024-10-26,Rejected,0.0,,0,No,0.0
CUST1039,29,Male,184832,Student,LOAN5039,Home,798658,8.88,60,2025-03-28,Approved,14492.98,2025-05-15,20,Yes,579719.2
CUST1040,59,Female,58192,Salaried,LOAN5040,Home,1432851,7.82,60,2022-10-29,Approved,25748.33,2024-02-20,52,No,205986.64
CUST1041,38,Female,155453,Salaried,LOAN5041,Home,374237,13.42,60,2023-03-05,Approved,7074.33,2023-05-31,31,Yes,205155.57
CUST1042,24,Female,170630,Salaried,LOAN5042,Personal,1804230,7.46,24,2025-06-15,Approved,80784.4,2025-07-13,6,Yes,1454119.2
CUST1043,45,Female,50782,Salaried,LOAN5043,Home,1603500,13.73,60,2022-12-17,Approved,30394.34,2023-06-15,10,Yes,1519717.0
CUST1044,34,Male,24782,Salaried,LOAN5044,Auto,1651421,16.71,36,2022-09-22,Rejected,0.0,,0,No,0.0
CUST1045,29,Male,170534,Self-Employed,LOAN5045,Business,297368,7.07,120,2022-11-16,Approved,2653.27,2023-09-20,24,Yes,254713.92
CUST1046,46,Female,80030,Self-Employed,LOAN5046,Personal,947561,16.1,60,2023-11-04,Approved,18335.31,2025-03-13,49,No,201688.41
CUST1047,22,Female,76411,Retired,LOAN5047,Home,1579264,11.23,24,2024-11-15,Approved,73192.31,2025-02-22,24,No,0.0
CUST1048,40,Male,117469,Self-Employed,LOAN5048,Business,1028670,8.41,36,2025-06-03,Approved,30977.25,2025-08-07,8,Yes,867363.0
CUST1049,48,Female,66950,Self-Employed,LOAN5049,Personal,395961,8.61,24,2023-10-26,Approved,17918.89,2024-09-17,12,Yes,215026.68
CUST1050,27,Female,153595,Salaried,LOAN5050,Business,314336,17.53,24,2024-12-21,Rejected,0.0,,0,No,0.0
CUST1051,64,Female,160749,Salaried,LOAN5051,Personal,1274680,7.83,180,2024-05-14,Rejected,0.0,,0,No,0.0
CUST1052,28,Male,166161,Salaried,LOAN5052,Education,1591187,16.9,24,2022-10-10,Rejected,0.0,,0,No,0.0
CUST1053,55,Male,155653,Self-Employed,LOAN5053,Personal,1803787,13.03,24,2022-10-29,Approved,84950.85,2025-04-21,6,Yes,1529115.3
CUST1054,34,Female,162979,Salaried,LOAN5054,Home,1086284,6.97,12,2022-10-23,Rejected,0.0,,0,No,0.0
CUST1055,37,Male,156681,Self-Employed,LOAN5055,Business,1534653,12.07,120,2025-04-28,Approved,14332.38,2025-07-19,119,No,14332.38
CUST1056,56,Female,70539,Self-Employed,LOAN5056,Business,1919954,16.31,180,2023-02-10,Rejected,0.0,,0,No,0.0
CUST1057,60,Female,195215,Salaried,LOAN5057,Business,1672748,15.21,180,2023-05-13,Approved,10706.52,2024-11-17,143,No,396141.24
CUST1058,24,Male,42936,Salaried,LOAN5058,Auto,882792,12.37,12,2022-09-13,Approved,82666.11,2024-03-31,2,Yes,826661.1
CUST1059,22,Female,70182,Salaried,LOAN5059,Auto,375396,16.82,36,2023-07-22,Rejected,0.0,,0,No,0.0
CUST1060,26,Female,131259,Salaried,LOAN5060,Home,803205,7.94,12,2023-01-09,Approved,72248.29,2023-05-20,6,Yes,433489.74
CUST1061,62,Male,115042,Self-Employed,LOAN5061,Education,1664336,17.42,180,2022-11-23,Rejected,0.0,,0,No,0.0
CUST1062,24,Female,33163,Self-Employed,LOAN5062,Auto,1658319,16.66,36,2024-05-25,Approved,53738.75,2024-09-24,15,Yes,1128513.75
CUST1063,49,Female,197129,Self-Employed,LOAN5063,Personal,602960,15.0,180,2024-11-20,Rejected,0.0,,0,No,0.0
CUST1064,38,Female,163609,Student,LOAN5064,Home,578044,16.31,60,2024-08-23,Approved,11205.38,2024-12-08,49,No,123259.18
CUST1065,46,Male,42419,Self-Employed,LOAN5065,Education,285437,13.03,36,2024-04-19,Approved,8961.93,2025-08-15,13,Yes,206124.39
CUST1066,64,Female,193650,Retired,LOAN5066,Personal,1991935,14.6,180,2024-04-25,Approved,12681.99,2025-07-10,61,Yes,1509156.81
CUST1067,54,Male,141211,Salaried,LOAN5067,Business,269526,13.23,12,2022-12-25,Approved,25432.02,2024-07-19,6,Yes,152592.12
CUST1068,30,Female,142762,Self-Employed,LOAN5068,Auto,1087577,10.77,180,2023-01-20,Approved,6692.83,2024-05-02,150,No,200784.9
CUST1069,56,Female,20834,Salaried,LOAN5069,Personal,644318,13.33,12,2024-03-02,Approved,60850.47,2025-08-10,2,Yes,608504.7
CUST1070,34,Female,52214,Salaried,LOAN5070,Education,1681015,9.59,36,2023-06-20,Approved,51172.9,2024-02-09,28,No,409383.2
CUST1071,51,Female,22413,Salaried,LOAN5071,Home,608335,11.78,12,2024-02-22,Approved,56666.41,2025-02-22,5,Yes,396664.87
CUST1072,35,Male,29505,Self-Employed,LOAN5072,Personal,1292039,9.87,36,2024-06-03,Approved,39432.31,2024-08-03,15,Yes,828078.51
CUST1073,28,Male,122802,Salaried,LOAN5073,Home,1365884,7.97,24,2024-06-12,Approved,61447.71,2024-10-06,5,Yes,1167506.49
CUST1074,34,Female,153177,Salaried,LOAN5074,Business,345766,10.36,120,2024-11-21,Approved,3179.89,2025-07-09,81,Yes,124015.71
CUST1075,43,Female,148303,Retired,LOAN5075,Education,872412,16.72,36,2024-08-07,Approved,28285.54,2025-07-22,28,No,226284.32
CUST1076,60,Female,134897,Student,LOAN5076,Education,1019242,11.07,24,2022-11-21,Rejected,0.0,,0,No,0.0
CUST1077,41,Female,78408,Self-Employed,LOAN5077,Auto,1707552,15.48,24,2022-08-21,Approved,82161.71,2023-07-13,12,Yes,985940.52
CUST1078,36,Female,188751,Self-Employed,LOAN5078,Education,1777548,8.6,24,2024-04-20,Approved,80434.05,2025-02-03,23,No,80434.05
CUST1079,38,Female,136908,Retired,LOAN5079,Personal,128066,11.59,24,2025-01-04,Approved,5954.54,2025-04-11,1,Yes,136954.42
CUST1080,44,Female,99731,Self-Employed,LOAN5080,Personal,249948,7.88,36,2024-03-04,Approved,7490.11,2024-12-28,31,No,37450.55
CUST1081,46,Female,85131,Salaried,LOAN5081,Personal,956379,8.16,12,2023-11-24,Approved,86201.63,2024-09-27,3,Yes,775814.67
CUST1082,45,Male,84280,Student,LOAN5082,Business,1290220,13.91,24,2024-02-23,Approved,61237.07,2025-08-08,8,Yes,979793.12
CUST1083,61,Male,35762,Self-Employed,LOAN5083,Education,1449380,13.79,60,2025-01-26,Approved,27487.49,2025-02-07,19,Yes,1126987.09
CUST1084,49,Male,137798,Salaried,LOAN5084,Education,1206691,9.06,24,2023-03-17,Rejected,0.0,,0,No,0.0
CUST1085,35,Female,136854,Salaried,LOAN5085,Personal,607331,12.19,12,2024-02-22,Rejected,0.0,,0,No,0.0
CUST1086,21,Female,78703,Salaried,LOAN5086,Auto,1744750,16.86,12,2024-05-25,Rejected,0.0,,0,No,0.0
CUST1087,45,Female,83079,Student,LOAN5087,Auto,1700695,8.59,120,2022-08-22,Approved,15389.87,2022-11-25,101,No,292407.53
CUST1088,27,Male,41577,Salaried,LOAN5088,Education,1315431,6.73,120,2024-09-07,Approved,11699.66,2025-04-05,96,No,280791.84
CUST1089,29,Female,21214,Retired,LOAN5089,Education,1164826,14.32,24,2022-09-10,Approved,55484.55,2025-04-26,19,No,277422.75
CUST1090,44,Male,106339,Student,LOAN5090,Home,1530614,7.14,24,2023-11-20,Approved,68329.16,2025-04-27,4,Yes,1366583.2
CUST1091,21,Female,68114,Self-Employed,LOAN5091,Education,1289072,18.26,180,2024-12-22,Approved,8469.2,2025-03-21,69,Yes,940081.2
CUST1092,64,Male,83230,Self-Employed,LOAN5092,Personal,1689209,13.82,180,2024-10-30,Approved,10681.43,2025-02-23,149,No,331124.33
CUST1093,28,Male,184052,Salaried,LOAN5093,Business,1282526,12.14,120,2023-10-23,Approved,11985.21,2025-07-01,84,Yes,431467.56
CUST1094,44,Male,87194,Salaried,LOAN5094,Education,538896,11.66,24,2023-10-17,Approved,25072.14,2023-10-24,18,No,150432.84
CUST1095,31,Female,132333,Salaried,LOAN5095,Education,1341167,13.38,180,2024-04-26,Approved,8447.86,2025-01-03,106,Yes,625141.64
CUST1096,37,Male,57792,Self-Employed,LOAN5096,Personal,135898,7.59,60,2025-05-09,Approved,2436.88,2025-06-22,14,Yes,112096.48
CUST1097,28,Female,65807,Salaried,LOAN5097,Home,812717,17.66,36,2024-05-22,Approved,26562.3,2024-07-09,33,No,79686.9
CUST1098,55,Female,145266,Salaried,LOAN5098,Education,1524194,14.01,120,2023-09-11,Approved,14481.11,2024-03-18,46,Yes,1071602.14
CUST1099,55,Female,173373,Salaried,LOAN5099,Auto,140034,8.71,120,2024-03-27,Approved,1268.59,2025-01-12,70,Yes,63429.5
CUST1100,53,Female,156213,Student,LOAN5100,Auto,668211,13.25,12,2024-04-02,Approved,63062.41,2025-01-12,0,Yes,756748.92
CUST1101,25,Female,124292,Salaried,LOAN5101,Auto,584561,8.1,24,2022-10-19,Approved,26329.6,2022-12-17,11,Yes,342284.8
CUST1102,62,Male,142984,Student,LOAN5102,Business,468246,6.71,120,2023-10-14,Approved,4163.88,2024-12-12,107,No,54130.44
CUST1103,59,Female,33777,Salaried,LOAN5103,Business,963851,14.07,120,2023-10-27,Approved,9162.21,2024-07-21,68,Yes,476434.92
CUST1104,61,Female,58346,Self-Employed,LOAN5104,Education,626748,14.28,180,2023-11-26,Approved,3979.15,2024-01-14,51,Yes,513310.35
CUST1105,48,Female,74703,Salaried,LOAN5105,Education,1471523,13.5,60,2024-11-13,Approved,27836.31,2025-01-01,38,Yes,612398.82
CUST1106,27,Female,114977,Self-Employed,LOAN5106,Education,836228,8.7,24,2025-07-21,Approved,37874.16,2025-08-11,1,Yes,871105.68
CUST1107,29,Female,67819,Self-Employed,LOAN5107,Business,1175515,13.74,36,2023-09-26,Approved,37139.74,2024-07-13,26,Yes,371397.4
CUST1108,28,Male,179541,Salaried,LOAN5108,Education,523789,7.18,60,2023-06-30,Approved,9356.62,2024-12-31,44,Yes,149705.92
CUST1109,32,Male,154917,Self-Employed,LOAN5109,Personal,200111,13.81,36,2024-01-04,Approved,6326.29,2024-04-14,23,Yes,82241.77
CUST1110,54,Female,130186,Self-Employed,LOAN5110,Home,64017,13.15,12,2024-07-08,Approved,6036.27,2025-01-08,8,Yes,24145.08
CUST1111,53,Male,43290,Self-Employed,LOAN5111,Auto,1181477,14.36,120,2024-08-06,Approved,11259.48,2025-06-24,60,Yes,675568.8
CUST1112,43,Male,132551,Self-Employed,LOAN5112,Auto,1735864,17.25,180,2024-09-20,Approved,11307.23,2025-04-28,110,Yes,791506.1
CUST1113,44,Female,181771,Salaried,LOAN5113,Personal,875647,16.7,60,2024-02-25,Approved,17031.33,2024-03-15,27,Yes,562033.89
CUST1114,57,Male,195324,Self-Employed,LOAN5114,Education,849015,18.27,36,2025-02-26,Approved,27892.5,2025-07-25,0,Yes,1004130.0
CUST1115,55,Female,118682,Retired,LOAN5115,Business,359169,18.21,24,2023-05-10,Approved,17690.57,2024-07-27,20,No,70762.28
CUST1116,64,Male,154365,Student,LOAN5116,Education,749614,15.77,12,2023-06-15,Approved,72319.01,2024-11-13,3,Yes,650871.09
CUST1117,60,Male,138017,Retired,LOAN5117,Education,107943,17.98,12,2023-03-07,Approved,10612.6,2025-07-19,4,Yes,84900.8
CUST1118,42,Male,139496,Salaried,LOAN5118,Auto,1763450,16.91,120,2024-01-17,Approved,17180.41,2024-12-25,120,No,0.0
CUST1119,47,Female,77089,Self-Employed,LOAN5119,Auto,219488,15.23,120,2025-01-07,Approved,2107.63,2025-06-22,91,No,61121.27
CUST1120,55,Male,167680,Self-Employed,LOAN5120,Business,575799,7.4,36,2023-01-22,Approved,17178.0,2023-11-25,2,Yes,584052.0
CUST1121,21,Male,148713,Salaried,LOAN5121,Auto,132151,7.09,36,2025-02-12,Rejected,0.0,,0,No,0.0
CUST1122,55,Female,36619,Student,LOAN5122,Education,540341,16.55,12,2023-10-28,Approved,52480.62,2024-01-02,0,Yes,629767.44
CUST1123,57,Female,98006,Self-Employed,LOAN5123,Personal,1805830,12.38,36,2024-02-15,Approved,56371.99,2025-07-04,17,Yes,1071067.81
CUST1124,34,Male,34779,Salaried,LOAN5124,Business,598513,16.28,120,2025-04-24,Rejected,0.0,,0,No,0.0
CUST1125,23,Female,41630,Salaried,LOAN5125,Personal,464062,10.26,12,2023-11-08,Approved,42639.56,2024-10-28,0,Yes,511674.72
CUST1126,21,Male,125575,Student,LOAN5126,Education,1127728,11.27,12,2022-09-18,Approved,104568.58,2024-10-25,7,Yes,522842.9
CUST1127,25,Male,135436,Salaried,LOAN5127,Business,942485,14.9,24,2024-07-14,Approved,45121.47,2025-06-16,3,Yes,947550.87
CUST1128,46,Female,163250,Salaried,LOAN5128,Personal,1164683,17.48,24,2024-06-08,Approved,57011.23,2024-06-29,1,Yes,1311258.29
CUST1129,34,Female,171007,Salaried,LOAN5129,Business,1017858,7.55,36,2024-10-26,Approved,30408.51,2025-08-12,25,Yes,334493.61
CUST1130,59,Female,198330,Salaried,LOAN5130,Education,698675,16.84,36,2025-04-21,Approved,22675.89,2025-06-21,21,Yes,340138.35
CUST1131,47,Male,42784,Student,LOAN5131,Business,1780124,16.02,120,2022-09-15,Approved,17210.83,2024-05-08,15,Yes,1807137.15
CUST1132,29,Female,174099,Salaried,LOAN5132,Education,1421630,10.29,120,2025-03-10,Approved,13065.96,2025-08-12,103,No,222121.32
CUST1133,35,Male,132167,Self-Employed,LOAN5133,Business,291608,10.76,24,2025-07-21,Approved,13457.71,2025-08-03,9,Yes,201865.65
CUST1134,35,Female,87359,Student,LOAN5134,Business,92530,7.06,12,2024-10-08,Rejected,0.0,,0,No,0.0
CUST1135,46,Male,98608,Self-Employed,LOAN5135,Auto,1439473,6.69,60,2024-10-19,Rejected,0.0,,0,No,0.0
CUST1136,62,Female,35111,Salaried,LOAN5136,Education,91999,12.22,180,2024-11-08,Approved,573.56,2025-08-09,133,Yes,26957.32
CUST1137,33,Male,183384,Self-Employed,LOAN5137,Home,1105185,7.65,180,2023-07-16,Approved,6609.62,2024-07-28,169,No,72705.82
CUST1138,52,Female,44161,Salaried,LOAN5138,Business,764129,8.83,60,2023-10-15,Approved,13860.03,2024-11-21,23,Yes,512821.11
CUST1139,59,Male,138920,Salaried,LOAN5139,Personal,752757,16.66,36,2022-11-17,Approved,24393.51,2025-01-18,29,No,170754.57
CUST1140,52,Female,124823,Self-Employed,LOAN5140,Auto,553793,13.35,180,2025-06-21,Rejected,0.0,,0,No,0.0
CUST1141,24,Female,145014,Student,LOAN5141,Auto,361466,14.1,180,2025-07-26,Rejected,0.0,,0,No,0.0
CUST1142,50,Male,150466,Self-Employed,LOAN5142,Business,841583,8.75,60,2023-05-28,Approved,15253.69,2025-02-16,18,Yes,640654.98
CUST1143,57,Female,87313,Retired,LOAN5143,Home,580694,16.44,60,2023-05-02,Approved,11269.33,2025-03-31,50,No,112693.3
CUST1144,43,Male,175086,Self-Employed,LOAN5144,Auto,1423398,16.92,24,2023-11-26,Approved,69343.21,2025-01-31,12,Yes,832118.52
CUST1145,59,Male,100308,Self-Employed,LOAN5145,Education,621350,12.78,12,2024-02-07,Approved,58396.54,2024-05-20,11,No,58396.54
CUST1146,35,Female,66389,Student,LOAN5146,Business,1834365,17.45,120,2023-04-10,Approved,17953.85,2024-11-16,46,Yes,1328584.9
CUST1147,63,Male,169233,Salaried,LOAN5147,Business,738316,16.64,24,2023-02-06,Approved,35882.16,2024-01-13,7,Yes,609996.72
CUST1148,49,Female,127800,Salaried,LOAN5148,Home,685665,15.28,180,2025-05-07,Rejected,0.0,,0,No,0.0
CUST1149,56,Female,158562,Self-Employed,LOAN5149,Education,1414550,15.31,120,2023-04-14,Approved,13592.65,2023-11-29,106,No,190297.1
CUST1150,33,Male,139547,Self-Employed,LOAN5150,Education,1302329,7.76,24,2024-01-24,Rejected,0.0,,0,No,0.0
CUST1151,52,Female,44502,Salaried,LOAN5151,Home,809591,9.75,24,2024-06-23,Approved,37021.92,2025-07-28,3,Yes,777460.32
CUST1152,27,Male,55757,Salaried,LOAN5152,Personal,1328551,7.3,60,2024-09-10,Rejected,0.0,,0,No,0.0
CUST1153,42,Male,61111,Salaried,LOAN5153,Education,587421,6.6,120,2025-01-23,Approved,5218.26,2025-03-21,21,Yes,516607.74
CUST1154,48,Female,118273,Self-Employed,LOAN5154,Personal,324353,8.4,24,2023-02-10,Approved,14649.94,2024-12-27,21,No,43949.82
CUST1155,22,Female,78645,Student,LOAN5155,Personal,1470548,17.07,60,2025-04-11,Rejected,0.0,,0,No,0.0
CUST1156,62,Male,130218,Student,LOAN5156,Business,1866557,9.38,36,2024-11-26,Approved,56712.22,2025-05-18,26,Yes,567122.2
CUST1157,26,Male,79055,Self-Employed,LOAN5157,Business,301061,18.14,120,2024-08-13,Approved,2963.95,2024-08-19,90,No,88918.5
CUST1158,48,Female,139815,Student,LOAN5158,Auto,299336,13.67,24,2024-08-19,Approved,14177.3,2024-12-09,12,Yes,170127.6
CUST1159,48,Female,160070,Salaried,LOAN5159,Business,1322149,9.35,180,2022-11-15,Rejected,0.0,,0,No,0.0
CUST1160,64,Female,179978,Salaried,LOAN5160,Education,1435401,12.47,36,2022-11-12,Approved,44844.32,2022-12-08,26,Yes,448443.2
CUST1161,64,Female,121026,Salaried,LOAN5161,Education,818021,9.13,60,2023-10-12,Approved,14878.44,2024-08-14,38,Yes,327325.68
CUST1162,40,Male,90192,Self-Employed,LOAN5162,Personal,1939353,18.31,24,2025-01-22,Rejected,0.0,,0,No,0.0
CUST1163,50,Female,187973,Salaried,LOAN5163,Education,879017,16.67,180,2024-10-06,Approved,5697.5,2025-03-28,120,Yes,341850.0
CUST1164,31,Male,72021,Self-Employed,LOAN5164,Business,1919646,6.81,60,2023-03-05,Rejected,0.0,,0,No,0.0
CUST1165,48,Male,49092,Self-Employed,LOAN5165,Business,594933,17.87,60,2025-04-16,Approved,11687.46,2025-04-17,11,Yes,572685.54
CUST1166,45,Female,152314,Salaried,LOAN5166,Business,1903416,15.15,180,2024-10-17,Approved,12176.58,2025-07-01,151,No,353120.82
CUST1167,59,Male,126843,Retired,LOAN5167,Home,62521,7.49,60,2023-04-25,Approved,1120.06,2024-02-26,17,Yes,48162.58
CUST1168,53,Female,152903,Self-Employed,LOAN5168,Education,923846,14.55,120,2023-02-13,Approved,8818.88,2024-01-13,118,No,17637.76
CUST1169,21,Male,70721,Salaried,LOAN5169,Auto,964864,14.26,36,2025-03-24,Approved,30623.71,2025-06-18,14,Yes,673721.62
CUST1170,47,Female,48511,Salaried,LOAN5170,Education,1484240,9.13,36,2025-05-15,Approved,44993.09,2025-05-23,15,Yes,944854.89
CUST1171,33,Male,92782,Self-Employed,LOAN5171,Education,874653,15.6,12,2024-11-05,Rejected,0.0,,0,No,0.0
CUST1172,61,Male,117003,Salaried,LOAN5172,Home,1198707,7.54,24,2025-06-28,Rejected,0.0,,0,No,0.0
CUST1173,23,Female,169374,Salaried,LOAN5173,Education,1775022,12.37,60,2023-09-30,Approved,33243.2,2025-08-07,46,No,465404.8
CUST1174,59,Female,75568,Self-Employed,LOAN5174,Personal,329067,6.62,24,2024-03-09,Approved,14618.8,2024-07-07,23,No,14618.8
CUST1175,26,Male,154304,Student,LOAN5175,Business,656049,18.12,36,2025-04-18,Approved,21525.7,2025-07-16,18,Yes,387462.6
CUST1176,28,Male,122062,Salaried,LOAN5176,Business,843634,15.52,36,2025-04-08,Approved,27071.28,2025-07-14,26,Yes,270712.8
CUST1177,47,Female,124301,Student,LOAN5177,Home,407819,8.41,60,2025-02-03,Approved,7368.61,2025-02-14,44,Yes,117897.76
CUST1178,29,Male,71507,Student,LOAN5178,Business,535693,10.6,120,2023-11-08,Approved,4937.3,2023-11-10,40,Yes,394984.0
CUST1179,57,Female,144277,Salaried,LOAN5179,Personal,1791142,8.43,180,2024-02-26,Approved,10789.64,2024-05-04,30,Yes,1618446.0
CUST1180,53,Male,149999,Self-Employed,LOAN5180,Home,1209019,15.7,60,2022-08-31,Approved,23313.92,2023-03-03,20,Yes,932556.8
CUST1181,62,Female,120128,Salaried,LOAN5181,Auto,585506,7.21,60,2022-10-14,Approved,10462.02,2025-02-26,15,Yes,470790.9
CUST1182,64,Male,30683,Salaried,LOAN5182,Business,1406412,16.58,12,2024-03-30,Approved,136632.93,2024-12-26,6,Yes,819797.58
CUST1183,44,Female,43664,Self-Employed,LOAN5183,Education,233761,17.81,180,2023-08-27,Approved,1529.97,2024-10-31,77,Yes,157586.91
CUST1184,35,Female,122364,Self-Employed,LOAN5184,Personal,671436,14.62,120,2025-03-02,Approved,6413.33,2025-08-06,22,Yes,628506.34
CUST1185,52,Male,184244,Salaried,LOAN5185,Personal,318860,9.06,24,2025-03-11,Approved,14489.53,2025-06-17,8,Yes,231832.48
CUST1186,52,Female,84340,Student,LOAN5186,Business,830736,10.82,180,2023-10-25,Approved,5114.56,2024-02-23,145,No,179009.6
CUST1187,44,Male,107236,Self-Employed,LOAN5187,Auto,1376808,12.23,120,2024-02-24,Approved,12876.6,2025-01-19,35,Yes,1094511.0
CUST1188,61,Female,31017,Student,LOAN5188,Education,605289,13.76,60,2023-04-03,Approved,11476.28,2024-01-06,11,Yes,562337.72
CUST1189,32,Female,56613,Salaried,LOAN5189,Auto,1596914,14.52,60,2025-05-11,Rejected,0.0,,0,No,0.0
CUST1190,59,Female,50348,Student,LOAN5190,Auto,1514376,13.15,60,2024-10-18,Approved,28558.61,2025-05-18,36,Yes,685406.64
CUST1191,22,Male,167520,Salaried,LOAN5191,Business,1491742,10.72,60,2024-12-05,Approved,27527.61,2025-04-04,10,Yes,1376380.5
CUST1192,23,Female,29491,Salaried,LOAN5192,Education,840718,17.19,60,2024-06-03,Approved,16420.62,2025-02-28,4,Yes,919554.72
